"id","author","link_p","title","middle_data","attributes","link_web"
11,"| 黃俊翔 | 29-03-2023 23:00 |","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3490000/3494637/v3_1024.jpg","行李追蹤好幫手 Apple AirTag vs 副廠 Tag 點揀好？","去旅行的時候，最怕就是行李遺失，肯定會打亂行程。對於 iPhone 的用家，相信都有聽過 Find My 功能，可以追蹤各種蘋果裝置，例如 iPhone、MacBook、AirPod 的下落，用戶更可購買 AirTag 掛在隨身物件，這樣就可以避免遺失了！現時，除了原廠 AirTag 外，市面還有其他平價選擇，今次就找來 3 款產品，測試它們的效果。

1. 原廠 Apple AirTag 


原廠 Apple AirTag 的大小，就好似一個汽水蓋，可以連結 Apple ID，用任何一部支援「尋找」功能的 Apple 裝置，都可以追蹤下落，還可以用報警功能令它發出聲響。AirTag 可以自動連接由全球 iPhone 用戶組成的 Find My 網絡，透過藍牙、UWB 及 NFC 作定位，除了可以提供相當準確的位置之外，去到近距離的時候，還可以提供詳細的方向。

售價：$249 (1 個)/ $799 (4 個)

2. Momax PinTag 

最近 Apple 開放 Find My 認證，而 Momax PinTag 就是首批第三方獲認證的產品。它的外形與 AirTag 相若，完全對應 Find My 網絡，在 iPhone 的「尋找」功能內可以管理，基本上同原廠 AirTag 一樣。不過，PinTag 就不設 UWB 及 NFC，只能夠用藍牙定位追蹤到物件的位置，靠近時未能提供方向指示，但勝在預售優惠價只需 $99，性價比超高！

售價：$99

3. 國產 iTag

無論在淘寶或者電腦商場，都有各式各樣的藍牙追蹤器出售，今次我們便找來這款只售 $50，外形圓碌碌的 iTag。在使用方面，它能夠同時支援 iPhone 及 Android 手機，透過專用 App 以藍牙連接手機使用，當手機與 iTag 超過一定距離後，就會發出警報提醒用戶。同時，當有效連接時，用戶可以在手機點擊發出警報的指令，iTag 就會發出聲響幫助尋找失物。此外，它還可以當作無線相機快門控制器，旅行自拍時大派用場。

售價：$50 

Test 1 
遺失警報
今次介紹的三款產品，都有提供遺失警報功能，等我試試件行李離開多遠，它們會發出警報！

在測試中，國產 iTag 在離開手機約 15 米時，便發出警報，手機上會顯示已斷開連接的提示。至於使用 Find My 網絡的 AirTag 及 PinTag，同樣地在離開約 200 米時發出遺漏警報，大家亦可尋找 App 內大家可以設定例外範圍，日常使用時避免經常發出警報。

Test 2 
追蹤失物

一但行李遺失實在是相當麻煩的事，今次我們就試試用三款產品，尋找遺失的物件。首先，用 iPhone 尋找 AirTag 時，在尋找 App 內可以即時檢視物件的位置，視乎附近有沒有其他可供通訊的裝置，一般在繁忙的地區，每分鐘都會更新，當靠近物件更會提供方向，表現最好！至於 Momax 的 PinTag，表現大致上同 AirTag 一樣，只要附近有其他 iPhone 用戶經過，都會更新定位，不過當靠近時就不能提供方向了。至於 iTag 基本上就沒有任何追蹤功能，斷線後就 Bye Bye 了！","none","/wbase/11"
12,"| 袁耀坤 | 21-04-2023 14:38 |","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3510000/3510233/1350fd_1024.jpg","傳奇品牌推革新產品 全新 Fender Audio RIFF 智能音箱登場","相信 Fender 品牌，對玩開音樂的朋友來說絕對不會陌生！日前，Fender 推出 Fender Audio RIFF 智能音箱，在原有基本功能和規格上，加入智能操作的心思，馬上睇內文了解更多產品資訊詳情！

作為一款藍牙喇叭，Fender Audio RIFF 擁有 60W 輸出、接近 30 小時續航能力，而且擁用6.3mm 插頭輸入讓用家方便接駁不同樂器。此外，RIFF 設有全頻單元、高音單元、被動式低音單元各兩個，擁有 60W 的輸出功率，能發出清晰而沉穩的音色。

智能元素 全新體驗
全新多用途音樂喇叭 Fender Audio RIFF 就是一款能夠同時滿足樂手與樂迷的產品。不但細小便攜，更能兼作結他 Amp （Amplifer）。Fender Audio RIFF 在藍牙喇叭的功能和設計之上，機身加入了觸控木飾板，用戶能透過觸碰、滑動來控制音量、EQ及切換不同模式。除此之外，用家亦可在手機上安裝 Fender RIFF 應用程式，配合手機使用 Auto-EQ 自動空間修正，按 App 上顯示的步驟，發射不同頻率的聲音，RIFF 可以分析聲音在當時環境的反射情況，數分鐘內就可因應聆聽環境及個人喜好，進行合適的音效設定。

Fender Audio RIFF 售價：HK$3,680，隨機附送黑紅色尼龍手提帶，首批會加送香港版 Fender 經典結他圖紋手提帶，送完即止。


","none","/wbase/12"
13,"| 袁耀坤 | 20-04-2023 20:28 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3505000/3509410/pc1350_1024.jpg","漢科開倉大激減 MSI、Acer 電競顯示器低至 7 折！","想趁消費劵期間盡興掃貨，又想享有平價優惠？漢科 Hornington 即將舉辦電腦 Outlet 不但各類電腦產品、電競耳機、鍵盤以優惠價發售，更有來自MSI、Acer 的產品，馬上睇內文了解更多開倉優惠詳情！

開倉優惠詳情
漢科電腦 Outlet 將於 4 月 21 及 22 日舉行，特賣場內多種電腦產品均有折扣優惠，包括電競顯示器、電競耳機、鍵盤及電競椅等。MSI MAG272CQR 27吋 2K 顯示屏只售 HK$ 1,599！Acer VG252Q Sbmiipx 25吋 FHD 顯示屏亦只售 HK$ 1,199！同場亦有平價電競椅發售，Province 5 英超球隊授權電競椅 HK$ 699 起。

此外，漢科亦接受多種付款方式，包括Alipay，Wechat Pay，FPS, 八達通，Payme，VISA，Master 或現金。

開放日期：2023 年 4 月 21 及 22 日（星期五及星期六）
時間：10:00 - 16:00
地址：觀塘鴻圖道 57 號南洋廣場 1606 - 1607 室","none","/wbase/13"
14,"| 蘇家華 | 19-04-2023 21:08 |","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3505000/3508243/0419_17hamasushi_01_1024.jpg","壽司郎事件影響深遠 日本 Hama Sushi 改推虛擬迴轉壽司","早前日本一名 17 歲學生在日本迴轉壽司連鎖店壽司郎做出狂舔茶杯、醬油瓶等驚人舉動，事件不只備受全城熱論，連不少迴轉壽司店都顧客量大減，令生意大受影響。雖然後來有迴轉壽司店不再把壽司放在迴轉帶上奉客，但當地一間名為 Hama Sushi 的連鎖店就想到以虛擬迴轉壽司代替，既保留迴轉壽司特色，又能保持店內清潔衛生。

日本 Twitter 用戶 ofen 近日到當地一間名為 Hama Sushi 的迴轉壽司連鎖店用餐時，就發現店內改推虛擬迴轉壽司奉客，只要按下屏幕上的迴轉壽司，之後再選擇件數確定，便可下單等吃。雖然沒有真正的壽司放在輸送帶讓客人自取，但感覺上就更為 hi-tech，又夠清潔衛生，難怪有不少網友留言大讚：「即使是虛擬，但也有努力做壽司，很好」、「善用了迴轉壽司優勢」、「很衛生，希望所有分店都有配備」等。","none","/wbase/14"
15,"| 袁耀坤 | 19-04-2023 04:18 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3505000/3507553/34444_1024.jpg","新一輪電腦優惠！HP 電腦產品低至 1 折","想趁消費劵期間添置全新電腦產品，還要平價入手兼收優惠回贈？HP 新一輪優惠登場！多款全新 HP 系列電腦均以低價發售，購買屏幕、打印機等電腦配件更會送出限量贈品，馬上睇內文了解更多優惠和產品詳情！

HP 將於 4 月 19 至 24 日於銅鑼灣時代廣場舉行閃購日，多款全新電腦產品 1 折發售，優惠產品包括：手提電腦、桌上電腦、多合一打印機和屏幕等。

HP 優惠詳情
HP 348 G7 只售 HK$2,499 ，低至 42 折，每日限量 3 件！ HP E23 G4 23 吋 FHD 顯示屏 HK$999 起。另外，購物 HP Deskjet 2722e 多合一打印機 （HK$ 390） 即送價值 $4,700學習課程及Instant Ink 免費打印5個月的優惠服務(共7500張)，數量有限，售完即止。

最重要的是，今次 HP 門市開倉亦都可以使用消費劵支付，而且現場提供 HP 6 大專門店售後支援服務、免費現場升級記憶體及舊電腦 Trade-in 等優惠。

開倉地點及時間
銅鑼灣時代廣場一座 16 樓 時代廣場展銷集
4月19日至24日，11:00 - 21:00","none","/wbase/15"
16,"| 蘇家華 | 17-04-2023 22:52 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3505000/3506402/0417_06angrybirds_01_1024.jpg","世嘉收購 Angry Birds 遊戲開發商 Rovio Entertainment 作價 10 億美元","雖然 Angry Birds 熱潮不復當年，但這不代表 Angry Birds 遊戲開發商 Rovio Entertainment 沒有價值可言，原因是日本世嘉 Sega 母公司 Sega Sammy Holdings 將以 US$10 億收購 Rovio Entertainment，而有關交易會於下星期完成。

此前 Rovio Entertainment 差點成為以色列開發商 Playtika 旗下企業，但這宗價值 US$8 億的收購就最終告吹，如今就即將被 Sega Sammy Holdings 以 US$10 億收購。即使 Angry Birds 熱潮減退也好，但這個經典遊戲仍締造了亮眼紀錄，包括首個下載量達到 10 億次的手機遊戲，而當中仍屬於健力士世界紀錄之一，還有就是 2016 年的《憤怒鳥大電影》是史上票房第 7 高的遊戲改編電影。","none","/wbase/16"
17,"| 黃俊翔 | 15-04-2023 08:00 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3505000/3505539/2304147ff01_1024.jpg","Final Fantasy XVI 預售日期確定 送遊戲道具及限量精美特典","對於 Playstation 遊戲迷，Final Fantasy 系列是陪伴大家成長的經典，每一集推出都令廣大遊戲迷十分期待。FF XV 在 2018 年推出後，如今 FF XVI 亦終於落實在 4 月 20 日開放實體版預購。

目前，FF XVI 的數位下載版，已於 PS Store 開放預購中 ，而官方亦落實實體版本會在 4 月 20 日預售，並設有標準版、豪華版、典藏版，可透過指定經銷商預訂。至於遊戲的正式登場日期，將會是 6 月 22 日。

今次 FF XVI 的實體版與下載版，將提供不同的特典，於 PS Store 預購可獲得遊戲道具「學者眼鏡」。此外，數位下載版預購特典與實體光碟版初回特典內含可於發售後下載的遊戲內道具：武器「英勇之心」和配件「貓妖幸運墜飾」（遊戲內貨幣獲得量增加）。至於實體版的買家，更可獲得實體特典，FFVXI B5筆記本，贈品數量有限，送完即止。","none","/wbase/17"
18,"| 蘇家華 | 13-04-2023 23:08 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3500000/3503885/0413_29donkeykong_01_1024.jpg","全球最高 Donkey Kong 街機 進駐紐約博物館","美國跟法國一樣有許多特色博物館，紐約遊戲主題博物館 The Strong National Museum of Play 近日就有全球最高 Donkey Kong 街機進駐，當中 20 呎的高度確夠震懾全場的。

The Strong National Museum of Play Twitter post 提到，這部 20 呎高的 Donkey Kong 街機是任天堂有份幫助製作。當這部遊戲機在 6 月 30 日安裝完成後，就可讓來到博物館參觀的訪客試玩，不過玩家毋須爬得超高方可大玩特玩，因為控制鍵會設於普通人都可輕鬆觸及的高度的。","none","/wbase/18"
19,"| 蘇家華 | 12-04-2023 07:17 | ","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3500000/3501964/0411_09lol_01_1024.jpg","張藝謀 9 月開拍《英雄聯盟》網劇 呈現不一樣的 LoL","國內知名導演張藝謀沒錯拍了這麼多年電影，不同題材都曾涉獵，今年他更首度涉足網劇，開拍著名 online game《英雄聯盟》LoL 同名劇集，全劇共 40 集，每集 45 分鐘。

張藝謀表示今回是自己第一次拍網劇，因此想拍個不一樣，反差很大的作品，亦希望劇集能夠呈現很 cool 很有型的感覺，而編劇方面就找來徐速及王瀟涵負責，前者更是電競網劇《穿越火線》的編劇，相信對處理遊戲劇集故事已有一定的經驗。至於網劇版《英雄聯盟》劇情會以幾近退役的 LPL 一線明星馬達，於陰差陽錯下與遊戲天賦過人的高中 3 年級學生白陽互換靈魂，雖二人因此獲得夢想中的生活，但同時也要一起面對生活種種困境，為理想生活而奮鬥。","none","/wbase/19"
20,"| 周傳禮 | 21-04-2023 16:31 |","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3510000/3510081/20230421_AIRb01_1024.jpeg","【實試】ZOHO Z15PQ-V2 高亮度抵玩外置屏幕！支援觸屏操作更方便","ZOHO 早前帶來兩款高質 QLED 平價外置屏幕 Z15PQ-V2 普通版及觸控版，兩機不但採用色準的 QLED 屏幕，亮度更高達 600 cd/m²，畫面效果更好。而且除了可兼作電腦副屏使用，更可配合 Samsung DEX Mode 直接使用，效果幾好。

屏幕夠光兼色準
ZOHO Z15PQ-V2 兩個版本都採用 QLED 面板，畫質突出，屏幕解像度為 1,080p，最高亮度達 600 cd/m²。不論是播放 YouTube 影片、Netflix 影片，都適合。

支援 USB 輸入
ZOHO Z15PQ-V2 支援多種輸入方式，除了最基本的 HDMI w外，亦可選擇 USB-C 輸入，實現 macBook 副屏、Samsung DEX Mode 流動應用，實際又方便。

售價
Z15PQ-V2 普通版：HK$1,580
Z15PQ-V2 觸控版：HK$1,999","none","/wbase/20"
21,"| 蘇家華 | 21-04-2023 15:35 |","https://resource01-proxy.ulifestyle.com.hk/res/v3/image/content/3505000/3509148/0420_36iglink_01_1024.jpg","Instagram 容許用家於個人資料加入最多 5 個連結 朱克伯格：可能是我們擁有的最受歡迎功能","如果用家想在 Instagram 個人資料中加入多個連結的話，往往需要使用 Linktree、Beacons 等第 3 方個人檔案連結解決方案。不過日前 IG 已開放新功能，容許個人、創作者及企業帳戶於個人資料加入最多 5 個連結，而 Meta CEO Mark Zuckerberg 更直言這可能是品牌擁有的最受歡迎功能。

用家想於個人資料加入最多 5 個連結的話，只要在帳戶頁面選擇編輯個人資料，之後選擇新增外部連結，就可自行加入想在 profile 呈現的網站，當連結加入後，系統會發出還可新增多少連結的通知，同時用家也可 點擊查看所有連結內容。雖說 Mark Zuckerberg 坦言這可能是品牌擁有的最受歡迎功能，但如果用家需要在 profile 增設超過 5 個連結，又或者本身已用開 Linktree、Beacons 等服務的話，相信應該是會繼續使用第 3 方方案的。","none","/wbase/21"
